"Fecha","CO (mg/m3)","NO (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 (ug/m3)","PM25 (ug/m3)","SO2 (ug/m3)","Provincia","Estación"
"10/2019","","2","5","52","11","","2","Avila","Avila II"
"10/2019","","5","15","43","20","","3","Burgos","Aranda de Duero 2"
"10/2019","0,2","6","18","","17","","1","Burgos","Burgos1"
"10/2019","","4","10","54","9","4","4","Burgos","Burgos4"
"10/2019","","2","3","56","","","3","Burgos","Medina de Pomar"
"10/2019","","6","16","","21","","3","Burgos","Miranda de Ebro1"
"10/2019","","5","14","46","16","","2","Burgos","Miranda de Ebro2"
"10/2019","","2","12","","11","","7","León","C.T.Compostilla-Compostilla"
"10/2019","","2","7","48","10","","5","León","C.T.Compostilla-Congosto"
"10/2019","","2","5","47","11","","1","León","C.T.Compostilla-Cortiguera"
"10/2019","","4","3","","9","","2","León","C.T.Compostilla-Santa Marina"
"10/2019","","2","10","","11","","3","León","C.T.Compostilla-Villaverde"
"10/2019","","2","10","45","9","","3","León","C.T.L.R. - Cuadros"
"10/2019","","1","4","","7","","4","León","C.T.L.R. - Naredo"
"10/2019","","1","4","44","7","","6","León","C.T.L.R. - Ventosilla"
"10/2019","","3","7","29","13","","4","León","Carracedelo"
"10/2019","","2","6","52","13","","11","León","La Robla"
"10/2019","","1","2","52","","","2","León","Lario"
"10/2019","","3","14","41","10","","4","León","Leon 4"
"10/2019","0,4","15","25","","18","","7","León","Leon1"
"10/2019","","","","","13","","1","León","Otero"
"10/2019","","2","8","40","16","","1","León","Ponferrada4"
"10/2019","","","","","17","","","León","Toral de los Vados"
"10/2019","","1","4","","14","","2","León","Tudela Veguin-Tudela Veguin"
"10/2019","","2","2","35","5","3","1","Palencia","C.T.G. - Compuerto"
"10/2019","","2","2","34","8","4","2","Palencia","C.T.G. - Villalba"
"10/2019","","5","6","52","11","","7","Palencia","Guardo"
"10/2019","","8","8","38","14","","6","Palencia","Hontoria 1 - Poblado"
"10/2019","","5","9","48","10","","3","Palencia","Hontoria 2 - Venta de Baños"
"10/2019","","7","8","46","15","","5","Palencia","Palencia 3"
"10/2019","","10","22","37","","","","Palencia","Renault4"
"10/2019","","1","3","77","19","","2","Salamanca","El Maillo"
"10/2019","0,7","4","4","","13","","4","Salamanca","Salamanca5"
"10/2019","","4","9","45","16","5","2","Salamanca","Salamanca6"
"10/2019","","2","11","57","14","","3","Segovia","Segovia 2"
"10/2019","","1","2","44","13","","3","Soria","Muriel de la Fuente"
"10/2019","0,4","16","20","44","11","","3","Soria","Soria"
"10/2019","0,5","23","29","","15","12","","Valladolid","Arco de ladrillo II"
"10/2019","","20","26","","17","14","7","Valladolid","La rubia II"
"10/2019","","5","13","47","27","","6","Valladolid","Medina del Campo"
"10/2019","","7","19","36","","","","Valladolid","Michelin1"
"10/2019","","3","15","41","","","","Valladolid","Michelin2"
"10/2019","","13","25","36","14","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"10/2019","","7","14","36","","","","Valladolid","Renault1"
"10/2019","0,2","16","23","","12","","","Valladolid","Renault2"
"10/2019","","9","18","","15","","","Valladolid","Renault3"
"10/2019","","10","21","38","","","","Valladolid","VALLADOLID SUR"
"10/2019","","13","14","38","15","10","","Valladolid","Vega Sicilia"
"10/2019","","7","11","47","12","","2","Zamora","Zamora 2"
"11/2019","","2","3","60","8","","2","Avila","Avila II"
"11/2019","","4","10","50","12","","3","Burgos","Aranda de Duero 2"
"11/2019","0,3","2","14","","9","","1","Burgos","Burgos1"
"11/2019","","1","6","59","5","2","4","Burgos","Burgos4"
"11/2019","","2","3","61","","","2","Burgos","Medina de Pomar"
"11/2019","","8","22","","","","3","Burgos","Miranda de Ebro1"
"11/2019","","4","14","49","11","","2","Burgos","Miranda de Ebro2"
"11/2019","","2","12","","10","","3","León","C.T.Compostilla-Compostilla"
"11/2019","","2","6","54","7","","4","León","C.T.Compostilla-Congosto"
"11/2019","","4","2","","6","","1","León","C.T.Compostilla-Santa Marina"
"11/2019","","2","9","","8","","2","León","C.T.Compostilla-Villaverde"
"11/2019","","1","8","51","5","","2","León","C.T.L.R. - Cuadros"
"11/2019","","1","4","","6","","4","León","C.T.L.R. - Naredo"
"11/2019","","1","3","57","4","","7","León","C.T.L.R. - Ventosilla"
"11/2019","","2","6","38","9","","6","León","Carracedelo"
"11/2019","","3","8","51","13","","14","León","La Robla"
"11/2019","","1","1","70","","","2","León","Lario"
"11/2019","","3","11","50","6","","1","León","Leon 4"
"11/2019","0,2","12","20","","13","","4","León","Leon1"
"11/2019","","","","","12","","2","León","Otero"
"11/2019","","2","10","49","12","","2","León","Ponferrada4"
"11/2019","","","","","11","","","León","Toral de los Vados"
"11/2019","","1","3","","10","","2","León","Tudela Veguin-Tudela Veguin"
"11/2019","","2","2","42","2","2","1","Palencia","C.T.G. - Compuerto"
"11/2019","","2","1","41","2","2","2","Palencia","C.T.G. - Villalba"
"11/2019","","6","7","57","6","","10","Palencia","Guardo"
"11/2019","","2","4","47","6","","2","Palencia","Hontoria 1 - Poblado"
"11/2019","","2","4","56","5","","4","Palencia","Hontoria 2 - Venta de Baños"
"11/2019","","5","5","54","6","","8","Palencia","Palencia 3"
"11/2019","","5","15","39","7","","","Palencia","Renault4"
"11/2019","","1","1","76","15","","2","Salamanca","El Maillo"
"11/2019","0,2","2","2","","7","","2","Salamanca","Salamanca5"
"11/2019","","3","8","56","9","4","2","Salamanca","Salamanca6"
"11/2019","","3","9","58","11","","3","Segovia","Segovia 2"
"11/2019","","1","1","51","7","","3","Soria","Muriel de la Fuente"
"11/2019","0,3","13","14","52","4","","3","Soria","Soria"
"11/2019","0,6","11","24","","9","7","","Valladolid","Arco de ladrillo II"
"11/2019","","14","22","","9","7","","Valladolid","La rubia II"
"11/2019","","4","6","58","21","","2","Valladolid","Medina del Campo"
"11/2019","","4","13","43","","","","Valladolid","Michelin1"
"11/2019","","3","11","48","","","","Valladolid","Michelin2"
"11/2019","","10","18","43","9","3","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"11/2019","","3","5","53","","","","Valladolid","Renault1"
"11/2019","0,3","12","16","","4","","","Valladolid","Renault2"
"11/2019","","4","11","","7","","","Valladolid","Renault3"
"11/2019","","9","16","","","","","Valladolid","VALLADOLID SUR"
"11/2019","","5","13","47","9","6","","Valladolid","Vega Sicilia"
"11/2019","","8","9","61","7","","3","Zamora","Zamora 2"
"12/2019","","6","8","43","11","","3","Avila","Avila II"
"12/2019","","5","8","33","18","","4","Burgos","Aranda de Duero 2"
"12/2019","0,4","11","20","","20","","2","Burgos","Burgos1"
"12/2019","","7","12","49","8","5","5","Burgos","Burgos4"
"12/2019","","1","4","48","","","3","Burgos","Medina de Pomar"
"12/2019","","12","21","","14","","3","Burgos","Miranda de Ebro1"
"12/2019","","8","17","37","16","","2","Burgos","Miranda de Ebro2"
"12/2019","","5","18","","12","","3","León","C.T.Compostilla-Compostilla"
"12/2019","","3","7","44","8","","3","León","C.T.Compostilla-Congosto"
"12/2019","","2","8","38","12","","1","León","C.T.Compostilla-Cortiguera"
"12/2019","","3","3","","7","","1","León","C.T.Compostilla-Santa Marina"
"12/2019","","5","12","","","","3","León","C.T.Compostilla-Villaverde"
"12/2019","","2","13","42","8","","6","León","C.T.L.R. - Cuadros"
"12/2019","","2","6","","7","","4","León","C.T.L.R. - Naredo"
"12/2019","","2","6","43","6","","5","León","C.T.L.R. - Ventosilla"
"12/2019","","8","10","25","16","","4","León","Carracedelo"
"12/2019","","4","10","46","15","","19","León","La Robla"
"12/2019","","1","2","55","","","2","León","Lario"
"12/2019","","9","20","36","10","","3","León","Leon 4"
"12/2019","0,6","31","32","","23","","8","León","Leon1"
"12/2019","","","","","13","","1","León","Otero"
"12/2019","","9","16","32","23","","5","León","Ponferrada4"
"12/2019","","","","","20","","","León","Toral de los Vados"
"12/2019","","1","5","","18","","4","León","Tudela Veguin-Tudela Veguin"
"12/2019","","2","2","37","2","2","1","Palencia","C.T.G. - Compuerto"
"12/2019","","2","1","37","4","3","2","Palencia","C.T.G. - Villalba"
"12/2019","","7","10","50","12","","17","Palencia","Guardo"
"12/2019","","4","5","35","16","","","Palencia","Hontoria 1 - Poblado"
"12/2019","","9","7","45","7","","3","Palencia","Hontoria 2 - Venta de Baños"
"12/2019","","11","7","41","11","","2","Palencia","Palencia 3"
"12/2019","","5","13","39","9","","","Palencia","Renault4"
"12/2019","","1","1","75","13","","2","Salamanca","El Maillo"
"12/2019","0,3","19","25","","12","","4","Salamanca","Salamanca5"
"12/2019","","6","12","46","12","8","3","Salamanca","Salamanca6"
"12/2019","","5","14","47","13","","4","Segovia","Segovia 2"
"12/2019","","1","1","47","9","","3","Soria","Muriel de la Fuente"
"12/2019","","24","24","45","10","","2","Soria","Soria"
"12/2019","0,4","29","31","","18","11","","Valladolid","Arco de ladrillo II"
"12/2019","","21","21","","17","11","6","Valladolid","La rubia II"
"12/2019","","9","12","43","26","","4","Valladolid","Medina del Campo"
"12/2019","","11","19","36","","","","Valladolid","Michelin1"
"12/2019","","9","16","33","","","","Valladolid","Michelin2"
"12/2019","","19","22","32","19","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"12/2019","","11","17","43","","","","Valladolid","Renault1"
"12/2019","0,5","15","16","","10","","","Valladolid","Renault2"
"12/2019","","14","18","","10","","","Valladolid","Renault3"
"12/2019","","15","20","33","","","","Valladolid","VALLADOLID SUR"
"12/2019","","13","17","35","19","12","","Valladolid","Vega Sicilia"
"12/2019","","10","13","46","11","","2","Zamora","Zamora 2"
"01/2020","","5","6","46","15","","3","Avila","Avila II"
"01/2020","","7","10","33","23","","3","Burgos","Aranda de Duero 2"
"01/2020","0,5","8","18","","22","","1","Burgos","Burgos1"
"01/2020","","6","12","48","9","5","5","Burgos","Burgos4"
"01/2020","","2","5","48","","","4","Burgos","Medina de Pomar"
"01/2020","","12","21","","18","","3","Burgos","Miranda de Ebro1"
"01/2020","","9","20","32","21","","2","Burgos","Miranda de Ebro2"
"01/2020","","6","19","","14","","5","León","C.T.Compostilla-Compostilla"
"01/2020","","2","8","47","11","","1","León","C.T.Compostilla-Congosto"
"01/2020","","3","9","31","15","","3","León","C.T.Compostilla-Cortiguera"
"01/2020","","4","4","","10","","2","León","C.T.Compostilla-Santa Marina"
"01/2020","","6","16","","14","","3","León","C.T.Compostilla-Villaverde"
"01/2020","","3","16","36","13","","5","León","C.T.L.R. - Cuadros"
"01/2020","","2","7","","10","","4","León","C.T.L.R. - Naredo"
"01/2020","","2","10","33","9","","10","León","C.T.L.R. - Ventosilla"
"01/2020","","7","12","22","18","","5","León","Carracedelo"
"01/2020","","4","11","42","21","","19","León","La Robla"
"01/2020","","1","2","57","","","1","León","Lario"
"01/2020","","10","21","32","15","","3","León","Leon 4"
"01/2020","0,5","27","34","","29","","11","León","Leon1"
"01/2020","","","","","13","","2","León","Otero"
"01/2020","","8","16","31","26","","5","León","Ponferrada4"
"01/2020","","","","","22","","","León","Toral de los Vados"
"01/2020","","2","7","","39","","4","León","Tudela Veguin-Tudela Veguin"
"01/2020","","2","1","39","5","4","1","Palencia","C.T.G. - Compuerto"
"01/2020","","1","1","36","7","5","3","Palencia","C.T.G. - Villalba"
"01/2020","","4","11","52","15","","19","Palencia","Guardo"
"01/2020","","8","8","37","20","","4","Palencia","Hontoria 1 - Poblado"
"01/2020","","10","8","42","10","","2","Palencia","Hontoria 2 - Venta de Baños"
"01/2020","","7","5","39","15","","2","Palencia","Palencia 3"
"01/2020","","6","16","36","11","","","Palencia","Renault4"
"01/2020","","1","1","76","","","2","Salamanca","El Maillo"
"01/2020","","16","22","","11","","3","Salamanca","Salamanca5"
"01/2020","","8","13","44","13","7","2","Salamanca","Salamanca6"
"01/2020","","5","16","49","14","","4","Segovia","Segovia 2"
"01/2020","","1","2","47","","","3","Soria","Muriel de la Fuente"
"01/2020","","22","27","47","14","","2","Soria","Soria"
"01/2020","0,6","","","","24","14","","Valladolid","Arco de ladrillo II"
"01/2020","","18","27","","21","13","5","Valladolid","La rubia II"
"01/2020","","8","11","42","29","","7","Valladolid","Medina del Campo"
"01/2020","","12","27","29","","","","Valladolid","Michelin1"
"01/2020","","8","22","34","","","","Valladolid","Michelin2"
"01/2020","","16","27","27","23","10","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"01/2020","","10","20","37","","","","Valladolid","Renault1"
"01/2020","0,2","16","20","","13","","","Valladolid","Renault2"
"01/2020","","13","22","","12","","","Valladolid","Renault3"
"01/2020","","11","24","29","","","","Valladolid","VALLADOLID SUR"
"01/2020","","14","22","30","23","13","","Valladolid","Vega Sicilia"
"01/2020","","9","14","43","12","","3","Zamora","Zamora 2"
"02/2020","","5","11","42","25","","2","Avila","Avila II"
"02/2020","0,5","5","14","35","32","","4","Burgos","Aranda de Duero 2"
"02/2020","0,5","7","18","","29","","1","Burgos","Burgos1"
"02/2020","","5","12","53","14","6","5","Burgos","Burgos4"
"02/2020","","1","5","52","18","","3","Burgos","Medina de Pomar"
"02/2020","","9","21","","21","","3","Burgos","Miranda de Ebro1"
"02/2020","","7","18","39","25","","2","Burgos","Miranda de Ebro2"
"02/2020","","2","7","","16","","5","León","C.T.Compostilla-Compostilla"
"02/2020","","1","4","53","16","","4","León","C.T.Compostilla-Congosto"
"02/2020","","1","3","32","16","","2","León","C.T.Compostilla-Cortiguera"
"02/2020","","3","1","","14","","2","León","C.T.Compostilla-Santa Marina"
"02/2020","","3","9","","16","","1","León","C.T.Compostilla-Villaverde"
"02/2020","","2","12","43","16","","5","León","C.T.L.R. - Cuadros"
"02/2020","","2","6","","15","","5","León","C.T.L.R. - Naredo"
"02/2020","","2","8","31","18","","7","León","C.T.L.R. - Ventosilla"
"02/2020","","4","8","24","19","","4","León","Carracedelo"
"02/2020","","3","9","46","26","","18","León","La Robla"
"02/2020","","1","2","54","18","","3","León","Lario"
"02/2020","","6","18","37","18","","3","León","Leon 4"
"02/2020","0,5","19","29","","30","","11","León","Leon1"
"02/2020","","","","","17","","1","León","Otero"
"02/2020","","3","10","41","24","","2","León","Ponferrada4"
"02/2020","","","","","23","","","León","Toral de los Vados"
"02/2020","","2","7","","17","","4","León","Tudela Veguin-Tudela Veguin"
"02/2020","","2","1","39","10","6","1","Palencia","C.T.G. - Compuerto"
"02/2020","","1","1","34","10","6","2","Palencia","C.T.G. - Villalba"
"02/2020","","4","9","50","18","","14","Palencia","Guardo"
"02/2020","","6","7","40","26","","2","Palencia","Hontoria 1 - Poblado"
"02/2020","","9","6","43","18","","2","Palencia","Hontoria 2 - Venta de Baños"
"02/2020","","6","5","40","19","","2","Palencia","Palencia 3"
"02/2020","","6","19","36","17","","","Palencia","Renault4"
"02/2020","","1","1","70","","","2","Salamanca","El Maillo"
"02/2020","","13","21","","21","","2","Salamanca","Salamanca5"
"02/2020","","5","11","38","21","8","","Salamanca","Salamanca6"
"02/2020","0,2","4","13","49","21","","3","Segovia","Segovia 2"
"02/2020","","1","3","44","","","3","Soria","Muriel de la Fuente"
"02/2020","","18","24","48","19","","2","Soria","Soria"
"02/2020","","8","14","43","34","","3","Valladolid","Medina del Campo"
"02/2020","","9","25","32","","","","Valladolid","Michelin1"
"02/2020","","5","19","39","","","","Valladolid","Michelin2"
"02/2020","","11","21","36","","","","Valladolid","Renault1"
"02/2020","0,1","17","19","","22","","","Valladolid","Renault2"
"02/2020","","14","20","","23","","","Valladolid","Renault3"
"02/2020","","12","23","32","","","","Valladolid","VALLADOLID SUR"
"02/2020","","14","20","32","28","15","","Valladolid","Vega Sicilia"
"02/2020","","13","14","41","18","","2","Zamora","Zamora 2"
"03/2020","","3","5","66","16","","2","Avila","Avila II"
"03/2020","0,3","4","6","57","23","","3","Burgos","Aranda de Duero 2"
"03/2020","0,2","5","15","","16","","1","Burgos","Burgos1"
"03/2020","","2","7","69","12","6","3","Burgos","Burgos4"
"03/2020","","2","4","67","16","","3","Burgos","Medina de Pomar"
"03/2020","","3","13","","16","","2","Burgos","Miranda de Ebro1"
"03/2020","","4","12","60","17","","2","Burgos","Miranda de Ebro2"
"03/2020","","2","5","","11","","3","León","C.T.Compostilla-Compostilla"
"03/2020","","1","3","64","15","","3","León","C.T.Compostilla-Congosto"
"03/2020","","2","2","41","15","","2","León","C.T.Compostilla-Cortiguera"
"03/2020","","2","1","","16","","2","León","C.T.Compostilla-Santa Marina"
"03/2020","","2","6","","16","","1","León","C.T.Compostilla-Villaverde"
"03/2020","","1","11","63","14","","4","León","C.T.L.R. - Cuadros"
"03/2020","","1","3","","14","","4","León","C.T.L.R. - Naredo"
"03/2020","","2","7","51","16","","8","León","C.T.L.R. - Ventosilla"
"03/2020","","1","5","37","18","","5","León","Carracedelo"
"03/2020","","2","5","69","22","","14","León","La Robla"
"03/2020","","1","2","68","20","","2","León","Lario"
"03/2020","","2","11","60","16","","2","León","Leon 4"
"03/2020","0,6","7","19","","22","","14","León","Leon1"
"03/2020","","","","","17","","1","León","Otero"
"03/2020","","2","6","57","22","","1","León","Ponferrada4"
"03/2020","","","","","21","","","León","Toral de los Vados"
"03/2020","","1","4","","19","","4","León","Tudela Veguin-Tudela Veguin"
"03/2020","","2","1","52","9","6","1","Palencia","C.T.G. - Compuerto"
"03/2020","","2","2","48","9","6","2","Palencia","C.T.G. - Villalba"
"03/2020","","2","6","68","17","","12","Palencia","Guardo"
"03/2020","","5","4","60","28","","5","Palencia","Hontoria 1 - Poblado"
"03/2020","","9","5","61","16","","5","Palencia","Hontoria 2 - Venta de Baños"
"03/2020","","2","2","63","14","","2","Palencia","Palencia 3"
"03/2020","","2","11","54","13","","","Palencia","Renault4"
"03/2020","","2","2","75","","","2","Salamanca","El Maillo"
"03/2020","","4","12","","15","","4","Salamanca","Salamanca5"
"03/2020","","2","7","55","16","5","","Salamanca","Salamanca6"
"03/2020","","2","6","67","16","","3","Segovia","Segovia 2"
"03/2020","","2","3","68","","","3","Soria","Muriel de la Fuente"
"03/2020","","7","13","68","13","","2","Soria","Soria"
"03/2020","0,4","9","21","","18","10","","Valladolid","Arco de ladrillo II"
"03/2020","","9","20","","18","10","4","Valladolid","La rubia II"
"03/2020","","4","9","66","29","","3","Valladolid","Medina del Campo"
"03/2020","","3","13","51","","","","Valladolid","Michelin1"
"03/2020","","2","7","54","","","","Valladolid","Michelin2"
"03/2020","","5","14","52","18","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"03/2020","","3","13","57","","","","Valladolid","Renault1"
"03/2020","0,1","6","11","","12","","","Valladolid","Renault2"
"03/2020","","4","12","","14","","","Valladolid","Renault3"
"03/2020","","4","13","52","","","","Valladolid","VALLADOLID SUR"
"03/2020","","8","15","56","19","10","","Valladolid","Vega Sicilia"
"03/2020","","5","11","59","13","","2","Zamora","Zamora 2"
"04/2020","","2","2","65","12","","3","Avila","Avila II"
"04/2020","0,4","3","3","60","12","","3","Burgos","Aranda de Duero 2"
"04/2020","0,4","5","8","","8","","1","Burgos","Burgos1"
"04/2020","","2","3","66","7","5","4","Burgos","Burgos4"
"04/2020","","2","3","64","10","","3","Burgos","Medina de Pomar"
"04/2020","","2","8","","13","","2","Burgos","Miranda de Ebro1"
"04/2020","","2","6","60","10","","1","Burgos","Miranda de Ebro2"
"04/2020","","2","8","","8","","5","León","C.T.Compostilla-Compostilla"
"04/2020","","2","4","54","7","","2","León","C.T.Compostilla-Congosto"
"04/2020","","4","2","63","8","","1","León","C.T.Compostilla-Cortiguera"
"04/2020","","3","2","","7","","2","León","C.T.Compostilla-Santa Marina"
"04/2020","","2","6","","8","","1","León","C.T.Compostilla-Villaverde"
"04/2020","","2","12","56","5","","4","León","C.T.L.R. - Cuadros"
"04/2020","","1","3","","6","","4","León","C.T.L.R. - Naredo"
"04/2020","","2","2","62","6","","3","León","C.T.L.R. - Ventosilla"
"04/2020","","","","50","10","","6","León","Carracedelo"
"04/2020","","1","3","63","11","","12","León","La Robla"
"04/2020","","1","2","66","11","","1","León","Lario"
"04/2020","","6","7","61","6","","2","León","Leon 4"
"04/2020","0,4","3","11","","10","","10","León","Leon1"
"04/2020","","","","","9","","1","León","Otero"
"04/2020","","1","3","52","11","","1","León","Ponferrada4"
"04/2020","","","","","13","","","León","Toral de los Vados"
"04/2020","","1","3","","8","","4","León","Tudela Veguin-Tudela Veguin"
"04/2020","","2","1","48","3","3","1","Palencia","C.T.G. - Compuerto"
"04/2020","","2","1","50","4","3","2","Palencia","C.T.G. - Villalba"
"04/2020","","1","5","63","10","","14","Palencia","Guardo"
"04/2020","","5","2","59","10","","5","Palencia","Hontoria 1 - Poblado"
"04/2020","","8","3","59","8","","7","Palencia","Hontoria 2 - Venta de Baños"
"04/2020","","2","1","62","6","","2","Palencia","Palencia 3"
"04/2020","","1","5","51","7","","","Palencia","Renault4"
"04/2020","","2","2","78","","","2","Salamanca","El Maillo"
"04/2020","","2","5","","9","","3","Salamanca","Salamanca5"
"04/2020","","1","2","60","8","3","","Salamanca","Salamanca6"
"04/2020","0,2","2","6","67","8","","2","Segovia","Segovia 2"
"04/2020","","3","5","61","","","2","Soria","Muriel de la Fuente"
"04/2020","","4","8","69","8","","2","Soria","Soria"
"04/2020","0,5","3","11","","10","7","","Valladolid","Arco de ladrillo II"
"04/2020","","4","11","","10","7","5","Valladolid","La rubia II"
"04/2020","","2","5","65","17","","2","Valladolid","Medina del Campo"
"04/2020","","1","7","52","","","","Valladolid","Michelin1"
"04/2020","","1","3","48","","","","Valladolid","Michelin2"
"04/2020","","2","7","53","10","4","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"04/2020","","1","8","57","","","","Valladolid","Renault1"
"04/2020","0,1","2","5","","3","","","Valladolid","Renault2"
"04/2020","","2","6","","6","","","Valladolid","Renault3"
"04/2020","","4","8","51","","","","Valladolid","VALLADOLID SUR"
"04/2020","","6","8","59","11","","","Valladolid","Vega Sicilia"
"04/2020","","2","6","61","7","","2","Zamora","Zamora 2"
"05/2020","","2","3","69","17","","2","Avila","Avila II"
"05/2020","","2","2","61","19","","3","Burgos","Aranda de Duero 2"
"05/2020","0,3","5","9","","15","","1","Burgos","Burgos1"
"05/2020","","3","4","70","11","7","4","Burgos","Burgos4"
"05/2020","","4","7","64","13","","1","Burgos","Miranda de Ebro2"
"05/2020","","1","8","","11","","6","León","C.T.Compostilla-Compostilla"
"05/2020","","2","6","57","12","","2","León","C.T.Compostilla-Congosto"
"05/2020","","4","2","65","12","","2","León","C.T.Compostilla-Cortiguera"
"05/2020","","3","3","","10","","2","León","C.T.Compostilla-Santa Marina"
"05/2020","","2","5","","11","","1","León","C.T.Compostilla-Villaverde"
"05/2020","","2","11","57","10","","4","León","C.T.L.R. - Cuadros"
"05/2020","","1","3","","8","","4","León","C.T.L.R. - Naredo"
"05/2020","","1","2","59","8","","3","León","C.T.L.R. - Ventosilla"
"05/2020","","2","5","56","","","1","León","Carracedelo"
"05/2020","","1","3","68","12","","5","León","La Robla"
"05/2020","","2","2","60","19","","2","León","Lario"
"05/2020","","1","7","62","11","","2","León","Leon 4"
"05/2020","0,2","4","11","","13","","6","León","Leon1"
"05/2020","","","","","11","","1","León","Otero"
"05/2020","","1","4","58","15","","1","León","Ponferrada4"
"05/2020","","","","","16","","","León","Toral de los Vados"
"05/2020","","1","2","","5","","4","León","Tudela Veguin-Tudela Veguin"
"05/2020","","2","1","55","5","3","","Palencia","C.T.G. - Compuerto"
"05/2020","","1","1","62","6","4","2","Palencia","C.T.G. - Villalba"
"05/2020","","1","5","67","11","","8","Palencia","Guardo"
"05/2020","","5","2","62","16","","2","Palencia","Hontoria 1 - Poblado"
"05/2020","","9","4","63","14","","4","Palencia","Hontoria 2 - Venta de Baños"
"05/2020","","2","2","70","10","","2","Palencia","Palencia 3"
"05/2020","","2","5","59","13","","","Palencia","Renault4"
"05/2020","","2","2","81","","","2","Salamanca","El Maillo"
"05/2020","","2","5","","14","","1","Salamanca","Salamanca5"
"05/2020","","1","4","64","9","4","","Salamanca","Salamanca6"
"05/2020","0,2","2","6","69","11","","3","Segovia","Segovia 2"
"05/2020","","3","8","62","","","2","Soria","Muriel de la Fuente"
"05/2020","","4","8","73","13","","2","Soria","Soria"
"05/2020","0,3","3","11","","14","9","","Valladolid","Arco de ladrillo II"
"05/2020","","4","10","","15","9","5","Valladolid","La rubia II"
"05/2020","","2","7","65","19","","4","Valladolid","Medina del Campo"
"05/2020","","1","9","58","","","","Valladolid","Michelin1"
"05/2020","","1","6","54","","","","Valladolid","Michelin2"
"05/2020","","2","7","60","15","6","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"05/2020","","2","7","63","","","","Valladolid","Renault1"
"05/2020","0,1","3","10","","13","","","Valladolid","Renault2"
"05/2020","","2","7","","7","","","Valladolid","Renault3"
"05/2020","","","","61","","","","Valladolid","VALLADOLID SUR"
"05/2020","","5","7","64","16","","","Valladolid","Vega Sicilia"
"05/2020","","2","6","69","10","","2","Zamora","Zamora 2"
"06/2020","","3","3","72","17","","2","Avila","Avila II"
"06/2020","0,4","2","3","66","19","","3","Burgos","Aranda de Duero 2"
"06/2020","0,3","5","9","","13","","1","Burgos","Burgos1"
"06/2020","","3","5","64","10","5","5","Burgos","Burgos4"
"06/2020","","6","3","63","11","","2","Burgos","Medina de Pomar"
"06/2020","","3","9","57","14","","2","Burgos","Miranda de Ebro2"
"06/2020","","1","7","","10","","2","León","C.T.Compostilla-Compostilla"
"06/2020","","2","7","56","9","","2","León","C.T.Compostilla-Congosto"
"06/2020","","1","2","61","10","","2","León","C.T.Compostilla-Cortiguera"
"06/2020","","3","3","","9","","2","León","C.T.Compostilla-Santa Marina"
"06/2020","","2","5","","9","","1","León","C.T.Compostilla-Villaverde"
"06/2020","","1","9","56","7","","4","León","C.T.L.R. - Cuadros"
"06/2020","","1","4","","7","","4","León","C.T.L.R. - Naredo"
"06/2020","","1","2","56","7","","3","León","C.T.L.R. - Ventosilla"
"06/2020","","3","4","55","11","","1","León","Carracedelo"
"06/2020","","1","3","63","11","","5","León","La Robla"
"06/2020","","2","3","53","18","","2","León","Lario"
"06/2020","","1","6","64","8","","2","León","Leon 4"
"06/2020","0,2","5","11","","13","","8","León","Leon1"
"06/2020","","","","","11","","1","León","Otero"
"06/2020","","1","5","59","16","","1","León","Ponferrada4"
"06/2020","","","","","15","","","León","Toral de los Vados"
"06/2020","","2","3","","3","","5","León","Tudela Veguin-Tudela Veguin"
"06/2020","","2","4","65","16","","4","León","Valderas"
"06/2020","","2","1","48","5","4","2","Palencia","C.T.G. - Compuerto"
"06/2020","","2","1","55","6","4","2","Palencia","C.T.G. - Villalba"
"06/2020","","2","4","61","9","","5","Palencia","Guardo"
"06/2020","","3","3","64","15","","1","Palencia","Hontoria 1 - Poblado"
"06/2020","","9","4","62","17","","6","Palencia","Hontoria 2 - Venta de Baños"
"06/2020","","4","6","68","10","","1","Palencia","Palencia 3"
"06/2020","","3","4","58","14","","","Palencia","Renault4"
"06/2020","","2","3","79","","","2","Salamanca","El Maillo"
"06/2020","","1","8","","15","","1","Salamanca","Salamanca5"
"06/2020","","2","5","69","17","4","","Salamanca","Salamanca6"
"06/2020","0,2","2","7","73","13","","3","Segovia","Segovia 2"
"06/2020","","3","8","58","","","2","Soria","Muriel de la Fuente"
"06/2020","","6","11","66","14","","2","Soria","Soria"
"06/2020","0,4","4","12","","","9","","Valladolid","Arco de ladrillo II"
"06/2020","","5","10","","15","10","7","Valladolid","La rubia II"
"06/2020","","2","6","68","24","","5","Valladolid","Medina del Campo"
"06/2020","","1","11","59","","","","Valladolid","Michelin1"
"06/2020","","1","6","59","","","","Valladolid","Michelin2"
"06/2020","","2","9","58","16","5","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"06/2020","","2","5","66","","","","Valladolid","Renault1"
