Sexo;País de nacimiento;Edad;Exposición al humo de tabaco;Total
Mujeres;España;De 25 a 64 años;Nunca o casi nunca;8.982,6
Mujeres;España;De 25 a 64 años;No consta;8,8
Mujeres;España;De 65 y más años;TOTAL;4.728,5
Mujeres;España;De 65 y más años;Todos los días;139,7
Mujeres;España;De 65 y más años;Al menos una vez a la semana;32,0
Mujeres;España;De 65 y más años;Menos de una vez por semana;54,5
Mujeres;España;De 65 y más años;Nunca o casi nunca;4.500,1
Mujeres;España;De 65 y más años;No consta;2,2
Mujeres;Extranjero;TOTAL;TOTAL;3.259,6
Mujeres;Extranjero;TOTAL;Todos los días;159,0
Mujeres;Extranjero;TOTAL;Al menos una vez a la semana;94,0
Mujeres;Extranjero;TOTAL;Menos de una vez por semana;75,9
Mujeres;Extranjero;TOTAL;Nunca o casi nunca;2.930,1
Mujeres;Extranjero;TOTAL;No consta;0,6
Mujeres;Extranjero;De 15 a 24 años;TOTAL;366,0
Mujeres;Extranjero;De 15 a 24 años;Todos los días;34,4
Mujeres;Extranjero;De 15 a 24 años;Al menos una vez a la semana;18,2
Mujeres;Extranjero;De 15 a 24 años;Menos de una vez por semana;11,1
Mujeres;Extranjero;De 15 a 24 años;Nunca o casi nunca;301,8
Mujeres;Extranjero;De 15 a 24 años;No consta;0,6
Mujeres;Extranjero;De 25 a 64 años;TOTAL;2.618,4
Mujeres;Extranjero;De 25 a 64 años;Todos los días;112,0
Mujeres;Extranjero;De 25 a 64 años;Al menos una vez a la semana;75,8
Mujeres;Extranjero;De 25 a 64 años;Menos de una vez por semana;61,1
Mujeres;Extranjero;De 25 a 64 años;Nunca o casi nunca;2.369,5
Mujeres;Extranjero;De 25 a 64 años;No consta;0,0
Mujeres;Extranjero;De 65 y más años;TOTAL;275,1
Mujeres;Extranjero;De 65 y más años;Todos los días;12,6
Mujeres;Extranjero;De 65 y más años;Al menos una vez a la semana;0,0
Mujeres;Extranjero;De 65 y más años;Menos de una vez por semana;3,7
Mujeres;Extranjero;De 65 y más años;Nunca o casi nunca;258,8
Mujeres;Extranjero;De 65 y más años;No consta;0,0
